name,freereturns,itemssold,status,price,shipping
"Apple iPhone XR 256GB|128GB|64GB| GSM/ CDMA Factroy Unlocked- ""Excellent""",False,0,Excellent - Refurbished,33988,
Apple iPhone 11 (PRODUCT)RED - 64GB (T-mobile)  A Excellent,False,0,Excellent - Refurbished,40999,
Apple iPhone 11 (PRODUCT)RED - 64GB (T-mobile Sprint)  B Good,False,0,Good - Refurbished,38499,
Apple iPhone 12 mini (PRODUCT)RED - 256GB (Unlocked) - VERY GOOD,False,0,Very Good - Refurbished,59999,0
Apple iPhone 12 (PRODUCT)RED - 64GB (Unlocked) - Excellent ,False,0,Excellent - Refurbished,67499,
"Apple iPhone 11 GSM+CDMA Factory Unlocked Verizon T-Mobile AT&T -""Excellent""",False,0,Excellent - Refurbished,44988,
New ListingApple iPhone XR (PRODUCT)RED - 128GB - (Unlocked) A1984 (CDMA   GSM),False,,Pre-Owned,33000,0
Lot of (2) Apple iPhone 7 Plus Product Red Verizon 256GB MPR92LL/A iOS 15 !READ!,True,,Pre-Owned,18850,0
Apple iPhone 12 Mini 64GB (Product) Red Verizon MG6J3LL/A Smartphone,True,,Open Box,51900,
Apple iPhone 12 mini (PRODUCT)RED - 64GB (AT&T) Great Condition,False,,Pre-Owned,60000,0
Apple iPhone 11 64GB (Product)Red AT&T ONLY MWHV2LL/A GRADE C No SIM CB701Au19,True,,Pre-Owned,28318,0
New Apple iPhone 12 (PRODUCT)RED - 128GB (Factory Unlocked),True,,Brand New,77999,0
"Apple Genuine iPhone 12 Pro Max 6.7"" Silicone Case with Magsafe In Retail",True,,Open Box,2399,
Apple iPhone 11 - 64GB - PRODUCT RED (Unlocked) (CDMA + GSM) - Excellent,True,0,Excellent - Refurbished,45999,
Apple iPhone 11 Pro Max Silicone Case - (PRODUCT)RED,True,,Brand New,1599,
Authentic Genuine Original Apple Pencil Natural Leather Case Protective Cover US,False,,Brand New,999,
Apple iPhone XR (PRODUCT)RED - 64GB - (Unlocked) A1984 (CDMA + GSM),True,0,Pre-Owned,31999,0
Apple Genuine Leather Protective Cover Case for iPhone XS Max (PRODUCT) RED,False,,Brand New,2195,
New ListingApple iPhone 13 (PRODUCT)RED - 128GB - (Verizon),False,,Brand New,79999,530
