name,freereturns,itemssold,status,price,shipping
"Doritos Hot & Spicy Mix Variety Pack, 40 Pack",False,0,Brand New,2889,0
"Doritos Delicious Cool Ranch Flavored Tortilla Chips, Party Size 15 oz Large Bag",False,38,Brand New,689,0
"DORITOS PIZZEROLAS (62 G EACH) Mexican Sabritas 1, 2, 3  BAGS !!!!!!!!!!!!!!!!!!",True,76,Brand New,506,0
Doritos Flavored Tortilla Chips Flamin' Hot Nacho 9.25 Oz,False,,Brand New,999,0
NEW Doritos Spicy Sweet Chili Flavored Nacho Corn Chip Snacks 9.75 oz Free Ship!,True,,Brand New,1188,0
"Lay's Doritos Cool Ranch Flavored Potato Chips, 7 3/4 oz LIMITED EDITION 11/2021",False,,Brand New,1000,0
Doritos Toasted Corn Chips,False,,Brand New,1500,955
💥XLG BAG - Doritos Ultimate Cheddar Cheese 🧀💥LIMITED EDITION💥 Chips 18.875oz,False,,Brand New,1480,850
"Doritos Nacho Cheese (1 oz., 50 pk.) Free Shipping",False,,Brand New,2199,0
"Doritos Nacho Cheese Flavored Tortilla Chips, 1 oz (Pack of 40)",False,13,Brand New,1623,
"MEXICAN SABRITAS, BARCEL, MAKE YOUR OWN BOX (AT LEAST 5)",False,,Brand New,299,0
6-Pk Doritos Nachos Queso y Chile Mex Cheese & Chili Nachos Doritos 61g/2.15oz,False,,Brand New,1800,0
"New ListingDoritos Nacho Cheese Flavored Tortilla Chips, 1 oz Bags, 10 Count",True,,Brand New,699,0
New ListingNew doritos mylar chip bags (15 pk),False,,Brand New,1800,475
"New ListingDoritos Nacho Cheese Flavored Tortilla Chips, 1 oz Bags, 10 Count",True,,Brand New,685,0
New Listing2-pack Doritos Nacho Cheese Tortilla Chips (18.875 oz.) New,False,,Brand New,1399,0
New ListingDoritos Ultimate Cheddar Flavored Tortilla Chips 18.875  oz Bag,False,,Brand New,2500,0
🔅Doritos 📐Limited Edition Ultimate💥Cheddar🧀Cheese flavored tortilla chips 🧀,False,0,Brand New,2688,0
2 Bags Doritos Dinamita Nacho Picoso LARGE 280g FRITO LAY Canada FRESH DELICIOUS,False,,Brand New,1769,0
💥XLG BAG - Doritos Ultimate Cheddar Cheese 🧀💥LIMITED EDITION💥 Chips 18.875oz,False,,Brand New,2000,0
Doritos Cool Ranch Tortilla Chips 40 Bags Case 1 oz Single Serve Snack Size,True,33,Brand New,2609,0
New ListingFrito-Lay Doritos & Cheetos Mix (40 Count) Variety Pack BRAND NEW EXPEDITED SHIP,True,,Brand New,2203,0
New ListingFrito-Lay Doritos & Cheetos Mix (40 Count) Variety Pack BRAND NEW EXPEDITED SHIP,True,,Brand New,1998,0
New ListingFrito-Lay Doritos & Cheetos Mix (40 Count) Variety Pack BRAND NEW EXPEDITED SHIP,True,,Brand New,2095,0
"New ListingDoritos Spicy Sweet Chili Flavored Tortilla Chips, 1 Ounce, 40 Count",False,,Brand New,1700,899
Doritos chips pickle,False,,Brand New,1099,625
"New ListingDoritos Nacho Cheese (1 oz., 50 pk.)",False,,Brand New,2188,0
"Doritos Flamas Flavor Tortilla Chips, 9.25 Oz Bags (Pack of 3) Exp Jan 11, 2022",True,,Brand New,2722,
"Rare Doritos cheese nugget, ",False,,Brand New,200,475
"Doritos Cool Ranch Flavored Tortilla Chips, 1 Ounce Pack of 40",True,0,Brand New,2371,0
"Doritos Cool Ranch Flavored Corn Tortilla Chips, 1 Oz Bags (Value Pack of 40)",False,,Brand New,2335,0
New ListingDoritos Cool Ranch Flavored Tortilla Chips Delicious Crunchy Snacks 1 Oz 40 Pack,False,,Brand New,2392,0
"New ListingDoritos Nacho Cheese (1 oz., 50 pk.)",False,,Brand New,2931,0
6-Pk Doritos Pizzerolas Mex Pizza Flavor Doritos 61gr/2.15oz,False,,Brand New,1800,0
"Doritos Nacho Cheese (1 oz., 50 pk.)",True,,Brand New,2931,0
"Doritos Flavored Tortilla Chips Variety Pack, 40 Count",True,0,Brand New,2890,0
"Doritos Nacho Cheese Flavored Tortilla Chips, Party Size, 15 oz",False,0,Brand New,649,0
"MEXICAN SABRITAS, BARCEL, MAKE YOUR OWN BOX AT LEAST 4 ITEM EXP DATE NOV-JAN",True,425,Brand New,273,0
Deformed￼ Doritos!,False,,Brand New,99,615
"Doritos 3D queso Mexican chips Sabritas 4 BAGS, 45g, FRESH 2021",False,,Brand New,1099,0
"Doritos INCOGNITA Mexican chips Sabritas 5 BAGS, (62 G), 2.18 oz each",True,287,Brand New,1480,0
"New ListingDoritos Spicy Nacho Flavored Tortilla Chips, 9.25 oz Bag",False,,Brand New,1089,0
"MEXICAN OXXO SABRITAS MAKE YOUR OWN BOX AT LEAST 4 ITEMS, USE AND TO CART",True,104,Brand New,285,0
"Sabritas Mexican Chips Doritos Nachos, 5 BAGS (62 G)",True,108,Brand New,1490,0
"Sabritas Mexican Chips Doritos Pizzerolas, 5 BAGS (62 G)",False,,Brand New,1475,0
"Doritos 3D queso Mexican chips Sabritas 5 BAGS, 50g, Always fresh ",True,412,Brand New,1360,0
"Doritos INCOGNITA Mexican chips Sabritas 4 BAGS, (62 G), 2.18 oz each",True,66,Brand New,1099,0
New ListingDoritos Nacho Cheese Flavored Tortilla Chips 1 Ounce Pack of 104,True,,Brand New,5609,0
Mexican Chips Barcel Sabritas Leo Papitas Fritos Chili Flaming hot Large Variety,False,,Brand New,299,500
